,Close,High,Low,Open,Volume,SMA_30,Price_SMA_Ratio,RSI_14,MACD,MACD_Signal,MACD_Hist,Returns,Volatility_30d,Forward_Return_30d,CapMrktCurUSD,CapMVRVCur,AdrActCnt,HashRate,IssTotUSD,TxCnt,TxTfrCnt,FeeTotNtv,FlowInExUSD,FlowOutExUSD,SplyCur,SplyExNtv,BlkCnt,AdrBalCnt,CapMrktEstUSD,PriceUSD,Puell_Multiple,NVT_proxy,NetFlowExUSD,ExchangeSupplyRatio,MVRV_Z,AdrActCnt_log,HashRate_log,CapMrktCurUSD_log,TxCnt_log,TxTfrCnt_log,IssTotUSD_log,CapMVRVCur_roc_7d,CapMVRVCur_roc_30d,AdrActCnt_roc_7d,AdrActCnt_roc_30d,HashRate_roc_7d,HashRate_roc_30d,TxCnt_roc_7d,TxCnt_roc_30d,NetFlowExUSD_7d,regime_base,regime_conservative,regime_aggressive,cycle,regime_price
2015-01-11,265.6600036621094,279.63800048828125,265.03900146484375,274.6080017089844,18200800,,,,-2.160682375621718,-1.403974262332084,-0.756708113289634,-0.0332464324841482,,-0.1724798558829621,3685757426.270803,0.85069708,249636,313142.288941348,1041427.6225160736,89751,268093,13.18200571,2348060.2019628873,2465580.002785052,13714164.78496462,853414.20265769,155,4014140,,268.755515488019,,51.154505283482294,-117519.80082216486,0.0622286676614329,,12.427763141670852,12.654416156912315,22.02774188482364,11.4048055902248,12.499092944264556,13.856104003984742,0.0295219550213421,,0.0622311296066993,,-0.0988372093023248,,0.0843552537785885,,-533305.1319970918,0,1,0,1,1
2015-01-12,267.7959899902344,272.2030029296875,265.20001220703125,266.14599609375,18880300,,,,-2.649536930263764,-1.6714688865224767,-0.9780680437412874,0.0080403007554037,,-0.1815224807265161,3684814575.287508,0.85146752,222808,291349.141441684,953591.1736995917,100751,244475,33.11612285,3398726.364695477,3077970.518263243,13717714.78496462,854608.30269368,142,4016541,,268.617232028054,,56.110910256527745,320755.8464322337,0.0622996115672545,,12.31407018119248,12.5822810580411,22.02748604281084,11.520417330728524,12.4068724235699,13.767991368149216,-0.0153137448039484,,-0.0812609529307465,,-0.0755591660302555,,0.052548552564223,,-484022.8589359775,0,1,0,1,1
2015-01-13,225.86099243164065,268.2770080566406,219.906005859375,267.3940124511719,72843904,,,,-5.345768779217906,-2.449078400167669,-2.896690379050237,-0.1565930750498652,,-0.01813940875391,3074962783.802202,0.71350593,250066,277602.083462638,711543.2739114569,98240,255680,15.11597283,5830661.293996864,6457373.757278036,13720889.78496462,851811.82896696,127,4015146,,224.108117767388,,53.66430610514949,-626712.4632811723,0.0620813841023908,,12.4294841609388,12.533947615127442,21.84655863562831,11.495178922482255,12.45168585269132,13.475192920734132,-0.2109280502749337,,0.160108371916086,,-0.130327753725146,,0.1057086259679451,,-394984.96696685016,0,0,0,1,1
2015-01-14,178.10299682617188,223.8939971923828,171.50999450683594,223.8939971923828,97638704,,,18.540939641234445,-10.06237442148884,-4.041785608228107,-6.0205888132607335,-0.2114486219656688,,0.3218587342631929,2410541394.676775,0.56357972,257446,316947.260646319,636686.4470338969,106993,275778,15.62269978,8107301.604227278,6428774.957922234,13724514.78496462,861368.58821824,145,4029797,,175.637640561075,,49.76653244625974,1678526.6463050442,0.062761314459137,,12.458569152658288,12.666493823911544,21.603117204728985,11.58052803710544,12.5273550993104,13.36403415014231,-0.3977423480470692,,0.2576930780617206,,0.1205956784115245,,0.1558189026563967,,68256.12178622067,0,0,0,1,1
2015-01-15,209.843994140625,229.06700134277344,176.89700317382812,176.89700317382812,81773504,,,28.961377507879163,-11.607455286562526,-5.610099690103862,-5.9973555964586645,0.1782170871915886,,0.2262491259666721,2915078937.6187863,0.68179854,262427,330062.319707546,801587.3180230861,119661,300792,17.11757064,6147640.056341297,4900609.96632218,13728289.78463702,867241.35901186,151,4037869,,212.341011396844,,45.64047509454047,1247030.090019117,0.0631718424229628,,12.477732037676324,12.707039792938108,21.793162736525872,11.69242638082741,12.614177599510446,13.594350435882053,-0.2395035283687487,,0.1387391843925469,,0.1113953854853202,,0.1330353845716829,,451190.2815514557,0,0,0,1,1
2015-01-16,208.0970001220703,221.59100341796875,199.77099609375,209.07000732421875,38421000,,,28.534946866428683,-12.7399146344774,-7.077362454214207,-5.662552180263194,-0.0083252038053752,,0.128440087125202,2850648523.4319754,0.66753485,246341,303832.201585092,721393.3368570999,104742,270759,14.57208331,3716078.5689811935,6113418.182484485,13731764.78463702,855693.2135948,139,4045370,,207.595204850964,,50.715820285335,-2397339.6135032917,0.0623148755469611,,12.41447609332263,12.624234150812548,21.770812357773114,11.559265009775784,12.508988098622543,13.488941197208812,-0.2776398180937721,,0.0371204594062073,,0.0742262020634614,,0.0432781856031554,,360078.39737073606,0,0,0,1,1
2015-01-17,199.2599945068359,211.7310028076172,194.875,207.83399963378903,23469700,,,31.734361386449223,-13.992345577251086,-8.492218811642058,-5.5001267656090285,-0.0424658001319124,,0.173557205489703,2744637050.627337,0.64325099,272389,301646.358408221,689395.6864260677,88416,323374,13.14946231,3293646.878064181,2891312.6096302024,13735214.78463702,857706.64833689,138,4068661,,199.824836645237,,42.47470354647257,402334.2684339788,0.0624458125908772,,12.514990141864107,12.617013926688912,21.73291468153647,11.389819537829288,12.686567919488333,13.44357212659276,-0.2638073955099954,,-0.0074842499171048,,0.0157123390528097,,-0.1685693329070358,,72439.28194053505,0,0,0,1,1
2015-01-18,210.33900451660156,218.69500732421875,194.50599670410156,200.0500030517578,30085100,,,37.65732896525924,-14.081202075678704,-9.630521299082474,-4.450680776596229,0.0556007744413822,,0.1581779668978322,2900758070.2695274,0.68000493,247184,334434.006061289,807581.882919344,83765,267931,13.91845739,2934207.4505492905,2190615.9493709016,13739039.78463702,861228.56673571,153,4077843,,211.132518410286,,51.278276065990944,743591.501178389,0.0626847712966618,,12.41789232311294,12.720197837911414,21.78823794366484,11.335782476216703,12.498488495954469,13.601800970197866,-0.2006497424441612,,-0.00982230127065,,0.0679937455650681,,-0.0666956357032233,,195455.18222632844,0,0,0,1,1
2015-01-19,214.86099243164065,216.72799682617188,207.3179931640625,211.4709930419922,18658300,,,35.967662823755376,-13.68813634903745,-10.453910599461851,-3.2342257495755984,0.0214985704883003,,0.0999018544676455,2980705663.4190784,0.69895138,255010,314761.417469448,780820.9016949144,99008,272794,14.46383358,2318622.0047784303,2597957.8409264977,13742639.78463702,859940.67983623,144,4070415,,216.894694915254,,50.37735355116688,-279335.8361480674,0.0625746358277951,,12.44906196046508,12.659573402977312,21.815425909571623,11.502966034075657,12.516475876337728,13.568102364014097,-0.1791215007238327,,0.1445280241283975,,0.0803581431951814,,-0.0173000764260404,,109727.79900057116,0,0,0,1,1
2015-01-20,211.31500244140625,215.24099731445312,205.1529998779297,212.9069976806641,24051100,,,31.670450908501948,-13.451146849097595,-11.060349615213932,-2.3907972338836654,-0.0165036470794603,,0.1370844567809057,2912963378.745639,0.68366065,234321,257929.494870797,625163.5689655172,100182,259668,14.63209011,2711065.5407271907,3424083.058277701,13745589.78463702,856576.11769411,118,4079054,,211.919853886616,,52.93524725663932,-713017.5175505104,0.0623164324786904,,12.364451516801482,12.460445427883537,21.792436743524963,11.514753792560258,12.467163022023737,13.345770204403282,-0.0418290566975385,,-0.0629633776682955,,-0.0708661417322853,,0.0197679153094463,,97398.50553352284,0,0,0,1,1
